,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-01-28,309000.0,1112,310112.0,0.0, ,BUY,34.18365078188691
1,2019-01-30,350000.0,1610,310112.0,38278.0, ,SELL,46.13940130343533
2,2019-02-25,361000.0,1299,362299.0,0.0, ,BUY,27.62513887637749
3,2019-04-02,370000.0,1702,362299.0,5999.0,SELL, ,86.11111111111111
4,2019-04-22,370000.0,1332,371332.0,0.0,BUY, ,0.0
5,2019-04-23,370000.0,1702,371332.0,-3034.0, ,SELL,0.0
6,2019-04-24,370000.0,1332,371332.0,0.0,BUY, ,0.0
7,2019-04-25,370000.0,1702,371332.0,-3034.0, ,SELL,0.0
8,2019-04-26,370000.0,1332,371332.0,0.0,BUY, ,0.0
9,2019-04-29,400000.0,1840,371332.0,26828.0, ,SELL,48.93820090670484
10,2019-05-24,399000.0,1436,400436.0,0.0, ,BUY,94.34408026334441
11,2019-05-27,399000.0,1835,400436.0,-3271.0,SELL, ,94.34408026334441
12,2019-05-28,399000.0,1436,400436.0,0.0, ,BUY,94.34408026334441
13,2019-05-29,399000.0,1835,400436.0,-3271.0,SELL, ,94.34408026334441
14,2019-05-30,399000.0,1436,400436.0,0.0, ,BUY,94.34408026334441
15,2019-05-31,392000.0,1803,400436.0,-10239.0,SELL, ,90.9739835669699
16,2019-06-03,392000.0,1411,393411.0,0.0, ,BUY,90.9739835669699
17,2019-06-04,392000.0,1803,393411.0,-3214.0,SELL, ,90.9739835669699
18,2019-06-05,392000.0,1411,393411.0,0.0, ,BUY,90.9739835669699
19,2019-06-06,392000.0,1803,393411.0,-3214.0,SELL, ,94.40653122980662
20,2019-06-07,392000.0,1411,393411.0,0.0,BUY, ,0.0
21,2019-06-13,475000.0,2185,393411.0,79404.0, ,SELL,77.44317636904191
22,2019-06-17,400000.0,1440,401440.0,0.0, ,BUY,42.184724689165186
23,2019-06-27,410000.0,1886,401440.0,6674.0, ,SELL,79.65736561345918
24,2019-07-01,400000.0,1440,401440.0,0.0, ,BUY,75.91904575674619
25,2019-07-05,390000.0,1794,401440.0,-13234.0,SELL, ,83.8103025347506
26,2019-07-08,390000.0,1404,391404.0,0.0, ,BUY,86.64412510566356
27,2019-07-09,390000.0,1794,391404.0,-3198.0,SELL, ,86.64412510566356
28,2019-07-10,410000.0,1476,411476.0,0.0, ,BUY,98.85421450844835
29,2019-07-11,410000.0,1886,411476.0,-3362.0,SELL, ,98.85421450844835
30,2019-07-12,401000.0,1443,402443.0,0.0, ,BUY,68.03767984773668
31,2019-07-15,401000.0,1844,402443.0,-3287.0, ,SELL,68.10152307863456
32,2019-07-17,380000.0,1368,381368.0,0.0, ,BUY,66.25309740385606
33,2019-07-23,400000.0,1840,381368.0,16792.0, ,SELL,66.94314292127265
34,2019-07-31,440000.0,1584,441584.0,0.0,BUY, ,19.144145687829408
35,2019-08-01,455000.0,2093,441584.0,11323.0, ,SELL,54.674842274237506
36,2019-08-22,472000.0,1699,473699.0,0.0,BUY, ,14.268268066209117
37,2019-08-23,472000.0,2171,473699.0,-3870.0, ,SELL,14.881052631578953
38,2019-08-26,472000.0,1699,473699.0,0.0,BUY, ,14.258297105291064
39,2019-08-27,472000.0,2171,473699.0,-3870.0, ,SELL,6.57616544393737
40,2019-08-29,472000.0,1699,473699.0,0.0,BUY, ,0.0
41,2019-08-30,472000.0,2171,473699.0,-3870.0, ,SELL,0.0
42,2019-09-02,468000.0,1684,469684.0,0.0,BUY, ,0.0
43,2019-09-06,474000.0,2180,469684.0,2136.0,SELL, ,92.08015535729363
44,2019-09-09,474000.0,1706,475706.0,0.0, ,BUY,89.41514074883848
45,2019-09-10,474000.0,2180,475706.0,-3886.0,SELL, ,91.17942143693216
46,2019-09-26,473000.0,1702,474702.0,0.0,BUY, ,0.0
47,2019-09-27,473000.0,2175,474702.0,-3877.0, ,SELL,0.0
48,2019-09-30,473000.0,1702,474702.0,0.0,BUY, ,0.0
49,2019-10-14,474000.0,2180,474702.0,-2882.0,SELL, ,97.15263104940135
50,2019-10-17,472000.0,1699,473699.0,0.0, ,BUY,93.593098769022
51,2019-10-18,472000.0,2171,473699.0,-3870.0,SELL, ,93.593098769022
52,2019-10-21,472000.0,1699,473699.0,0.0, ,BUY,95.33776979127585
53,2019-10-22,461000.0,2120,473699.0,-14819.0,SELL, ,92.78370327664072
54,2019-10-23,461000.0,1659,462659.0,0.0, ,BUY,92.78370327664072
55,2019-10-24,461000.0,2120,462659.0,-3779.0,SELL, ,92.78370327664072
56,2019-10-25,461000.0,1659,462659.0,0.0, ,BUY,92.78370327664072
57,2019-10-28,451000.0,2074,462659.0,-13733.0,SELL, ,86.72586507313977
58,2019-10-29,450000.0,1620,451620.0,0.0, ,BUY,82.77044402537288
59,2019-10-30,450000.0,2070,451620.0,-3690.0,SELL, ,82.90234773732561
60,2019-10-31,450000.0,1620,451620.0,0.0, ,BUY,82.90234773732561
61,2019-11-04,475000.0,2185,451620.0,21195.0,SELL, ,88.8126159554731
62,2019-11-06,460000.0,1656,461656.0,0.0, ,BUY,49.788344085349664
63,2019-11-14,475000.0,2185,461656.0,11159.0, ,SELL,68.98735788994998
64,2019-12-19,484000.0,1742,485742.0,0.0,BUY, ,0.0
65,2019-12-20,484000.0,2226,485742.0,-3968.0, ,SELL,0.0
66,2019-12-23,484000.0,1742,485742.0,0.0,BUY, ,0.0
67,2019-12-26,485000.0,2231,485742.0,-2973.0,SELL, ,88.90925756186985
