,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,BUY,5.080140196117043,3616.5,3943.8698214557967,3289.1301785442033,1.4285714285714286
1,2019-04-02,370000.0,1702,362299.0,5999.0,SELL, ,SELL,86.11111111111111,3576.0,3694.0508365069904,3457.9491634930096,100.0
2,2019-04-24,370000.0,1332,371332.0,0.0,BUY,BUY, ,0.0,3670.0,3812.8285685708574,3527.1714314291426,100.0
3,2019-04-25,370000.0,1702,371332.0,-3034.0, ,SELL,SELL,0.0,3680.0,3800.000000000001,3559.999999999999,100.0
4,2019-05-17,399000.0,1436,400436.0,0.0, , ,BUY,89.88150945642505,3929.5,4198.087043619011,3660.9129563809897,16.470588235294116
5,2019-05-20,399000.0,1835,400436.0,-3271.0,SELL,SELL, ,84.85199542544817,3944.0,4191.98387044322,3696.016129556779,0.0
6,2019-05-21,399000.0,1436,400436.0,0.0, , ,BUY,84.60131648118943,3958.5,4180.245349443906,3736.7546505560936,0.0
7,2019-05-23,399000.0,1835,400436.0,-3271.0,SELL,SELL, ,94.34408026334441,3987.5,4127.052857369529,3847.947142630471,0.0
8,2019-05-24,399000.0,1436,400436.0,0.0, ,BUY,BUY,94.34408026334441,4002.0,4047.8693797647206,3956.1306202352794,0.0
9,2019-06-12,480000.0,2208,400436.0,77356.0, , ,SELL,73.87247278382581,4003.0,4375.0268807492275,3630.973119250772,100.0
10,2019-07-02,390000.0,1404,391404.0,0.0, ,BUY,BUY,68.70595771941063,4100.0,4670.438427878066,3529.5615721219333,0.0
11,2019-07-10,410000.0,1886,391404.0,16710.0,SELL, ,SELL,98.85421450844835,4060.0,4538.121323515277,3581.878676484723,100.0
12,2019-08-28,472000.0,1699,473699.0,0.0, , ,BUY,72.79703286865328,4709.5,4819.858506695225,4599.141493304775,0.0
13,2019-09-05,475000.0,2185,473699.0,-884.0, , ,SELL,50.17705382436261,4723.5,4765.105288125429,4681.894711874571,100.0
14,2019-09-27,473000.0,1702,474702.0,0.0,BUY, ,BUY,0.0,4729.0,4771.379240200834,4686.620759799166,0.0
15,2019-10-15,474000.0,2180,474702.0,-2882.0,SELL,SELL, ,97.15263104940135,4726.5,4746.773134932712,4706.226865067288,75.0
16,2019-10-22,461000.0,1659,462659.0,0.0, ,BUY,BUY,92.78370327664072,4717.5,4769.605661880451,4665.394338119549,0.0
17,2019-11-04,475000.0,2185,462659.0,10156.0,SELL, ,SELL,88.8126159554731,4646.0,4835.039678374673,4456.960321625327,100.0
18,2019-12-18,484000.0,1742,485742.0,0.0, , ,BUY,88.94303990252817,4817.5,4897.967384697155,4737.032615302845,0.0
19,2019-12-26,485000.0,2231,485742.0,-2973.0,SELL,SELL,SELL,88.90925756186985,4836.0,4880.452221541784,4791.547778458216,100.0
