,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-01-28,309000.0,1112,310112.0,0.0,BUY,3166.0,3442.362081335338,2889.637918664662
1,2019-01-30,350000.0,1610,310112.0,38278.0,SELL,3181.0,3507.429165363636,2854.570834636364
2,2019-02-25,361000.0,1299,362299.0,0.0,BUY,3611.0,3942.2944309824725,3279.7055690175275
3,2019-04-03,370000.0,1702,362299.0,5999.0,SELL,3580.5,3709.724610659116,3451.275389340884
4,2019-04-24,370000.0,1332,371332.0,0.0,BUY,3670.0,3812.8285685708574,3527.1714314291426
5,2019-04-25,370000.0,1702,371332.0,-3034.0,SELL,3680.0,3800.000000000001,3559.999999999999
6,2019-05-24,399000.0,1436,400436.0,0.0,BUY,4002.0,4047.8693797647206,3956.1306202352794
7,2019-06-13,475000.0,2185,400436.0,72379.0,SELL,4040.5,4534.8470440894735,3546.152955910526
8,2019-06-17,400000.0,1440,401440.0,0.0,BUY,4079.0,4660.752524704449,3497.2474752955513
9,2019-06-27,410000.0,1886,401440.0,6674.0,SELL,4088.0,4666.15568837468,3509.84431162532
10,2019-07-01,400000.0,1440,401440.0,0.0,BUY,4101.0,4670.101045509495,3531.8989544905053
11,2019-07-11,410000.0,1886,401440.0,6674.0,SELL,4027.5,4387.326347006441,3667.6736529935583
12,2019-07-12,401000.0,1443,402443.0,0.0,BUY,3990.5,4130.7105559506845,3850.289444049315
13,2019-07-15,401000.0,1844,402443.0,-3287.0,SELL,3991.0,4131.413674547745,3850.5863254522546
14,2019-07-17,380000.0,1368,381368.0,0.0,BUY,3981.5,4144.873804509781,3818.126195490219
15,2019-07-23,400000.0,1840,381368.0,16792.0,SELL,3959.0,4145.644046248468,3772.355953751532
16,2019-09-02,468000.0,1684,469684.0,0.0,BUY,4720.5,4784.523433210036,4656.476566789964
17,2019-09-06,474000.0,2180,469684.0,2136.0,SELL,4723.5,4765.105288125429,4681.894711874571
18,2019-09-09,474000.0,1706,475706.0,0.0,BUY,4723.5,4765.105288125429,4681.894711874571
19,2019-09-10,474000.0,2180,475706.0,-3886.0,SELL,4723.5,4765.105288125429,4681.894711874571
20,2019-09-30,473000.0,1702,474702.0,0.0,BUY,4731.5,4767.430488446443,4695.569511553557
21,2019-10-15,474000.0,2180,474702.0,-2882.0,SELL,4726.5,4746.773134932712,4706.226865067288
22,2019-10-17,472000.0,1699,473699.0,0.0,BUY,4725.0,4743.439088914584,4706.560911085416
23,2019-11-05,474000.0,2180,473699.0,-1879.0,SELL,4647.0,4837.7983228437815,4456.2016771562185
24,2019-11-06,460000.0,1656,461656.0,0.0,BUY,4641.5,4831.054741433708,4451.945258566292
25,2019-11-14,475000.0,2185,461656.0,11159.0,SELL,4611.5,4778.38618876348,4444.61381123652
