,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,3616.5,3943.8698214557967,3289.1301785442033,1.4285714285714286
1,2019-04-03,370000.0,1702,362299.0,5999.0,SELL,SELL,3580.5,3709.724610659116,3451.275389340884,100.0
2,2019-05-24,399000.0,1436,400436.0,0.0,BUY,BUY,4002.0,4047.8693797647206,3956.1306202352794,0.0
3,2019-06-13,475000.0,2185,400436.0,72379.0,SELL,SELL,4040.5,4534.8470440894735,3546.152955910526,95.45454545454545
4,2019-07-02,390000.0,1404,391404.0,0.0,BUY,BUY,4100.0,4670.438427878066,3529.5615721219333,0.0
5,2019-07-11,410000.0,1886,391404.0,16710.0,SELL,SELL,4027.5,4387.326347006441,3667.6736529935583,100.0
6,2019-09-02,468000.0,1684,469684.0,0.0,BUY,BUY,4720.5,4784.523433210036,4656.476566789964,0.0
7,2019-09-06,474000.0,2180,469684.0,2136.0,SELL,SELL,4723.5,4765.105288125429,4681.894711874571,87.5
8,2019-09-30,473000.0,1702,474702.0,0.0,BUY,BUY,4731.5,4767.430488446443,4695.569511553557,0.0
9,2019-11-05,474000.0,2180,474702.0,-2882.0,SELL,SELL,4647.0,4837.7983228437815,4456.2016771562185,97.05882352941177
