,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
0,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14,LAYER_1,Fraksi_4
1,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20,LAYER_1,Fraksi_4
2,ANTM,101865.0,-29664.0,-29,4664,6,6,CCI_20,LAYER_1,Fraksi_4
3,ANTM,99356.0,-17147.0,-17,3147,4,4,SO_14,LAYER_1,Fraksi_4
4,TLKM,0.0,0.0,0,0,0,0,MFII_14,LAYER_1,Fraksi_4
5,TLKM,379360.0,-7489.0,-1,57929,18,17,BB_MAVG_20,LAYER_1,Fraksi_4
6,TLKM,379360.0,34754.0,9,53675,17,16,CCI_20,LAYER_1,Fraksi_4
7,TLKM,379360.0,46076.0,12,34328,11,10,SO_14,LAYER_1,Fraksi_4
8,BMRI,654849.0,49397.0,7,5603,1,1,MFII_14,LAYER_1,Fraksi_5
9,BMRI,720083.0,-68292.0,-9,78292,13,13,BB_MAVG_20,LAYER_1,Fraksi_5
10,BMRI,720083.0,23741.0,3,78759,13,13,CCI_20,LAYER_1,Fraksi_5
11,BMRI,750191.0,-44982.0,-5,29982,5,5,SO_14,LAYER_1,Fraksi_5
12,BBNI,878150.0,-91784.0,-10,6784,1,1,MFII_14,LAYER_1,Fraksi_5
13,BBNI,905749.0,-220530.0,-24,75530,11,11,BB_MAVG_20,LAYER_1,Fraksi_5
14,BBNI,903240.0,-226723.0,-25,74223,11,11,CCI_20,LAYER_1,Fraksi_5
15,BBNI,900731.0,-201394.0,-22,33894,5,5,SO_14,LAYER_1,Fraksi_5
16,ADRO,126453.0,-8029.0,-6,2029,2,2,MFII_14,LAYER_1,Fraksi_4
17,ADRO,139500.0,1843.0,1,14157,13,13,BB_MAVG_20,LAYER_1,Fraksi_4
18,ADRO,134482.0,14240.0,10,10760,10,10,CCI_20,LAYER_1,Fraksi_4
19,ADRO,138496.0,22876.0,16,8624,8,8,SO_14,LAYER_1,Fraksi_4
20,SIDO,40337.1640625,10893.977172851562,27,975,3,2,MFII_14,LAYER_1,Fraksi_3
21,SIDO,40835.37683105469,2827.075927734375,6,9310,22,21,BB_MAVG_20,LAYER_1,Fraksi_3
22,SIDO,40835.37683105469,7517.4027099609375,18,5136,12,12,CCI_20,LAYER_1,Fraksi_3
23,SIDO,40586.27197265625,13510.990844726562,33,2864,7,7,SO_14,LAYER_1,Fraksi_3
24,TBIG,86108.0,-19416.0,-22,1055,2,1,MFII_14,LAYER_1,Fraksi_4
25,TBIG,92531.0,-13441.0,-14,10441,13,13,BB_MAVG_20,LAYER_1,Fraksi_4
26,TBIG,92531.0,-14810.0,-16,6910,9,9,CCI_20,LAYER_1,Fraksi_4
27,TBIG,92732.0,-11271.0,-12,5271,7,7,SO_14,LAYER_1,Fraksi_4
28,ARNA,50180.0,139.0,0,1037,3,2,MFII_14,LAYER_2,Fraksi_3
29,ARNA,48172.0,785.0,1,8100,20,19,BB_MAVG_20,LAYER_2,Fraksi_3
30,ARNA,47570.0,82.0,0,8079,20,19,CCI_20,LAYER_2,Fraksi_3
31,ARNA,49577.0,7338.0,14,1445,4,3,SO_14,LAYER_2,Fraksi_3
32,TGKA,362299.0,73198.0,20,24802,7,7,MFII_14,LAYER_2,Fraksi_5
33,TGKA,310112.0,145123.0,46,44877,13,13,BB_MAVG_20,LAYER_2,Fraksi_5
34,TGKA,310112.0,76748.0,24,41252,12,12,CCI_20,LAYER_2,Fraksi_5
35,TGKA,362299.0,94321.0,26,21679,6,6,SO_14,LAYER_2,Fraksi_5
36,HEXA,306098.0,31698.0,10,6569,3,2,MFII_14,LAYER_2,Fraksi_5
37,HEXA,305094.0,21985.0,7,45282,18,17,BB_MAVG_20,LAYER_2,Fraksi_5
38,HEXA,305094.0,176.0,0,42091,17,16,CCI_20,LAYER_2,Fraksi_5
39,HEXA,305094.0,30674.0,10,16575,7,6,SO_14,LAYER_2,Fraksi_5
40,ALMI,52187.0,-30189.0,-57,989,3,3,MFII_14,LAYER_3,Fraksi_2
41,ALMI,61219.0,-21331.0,-34,5231,14,14,BB_MAVG_20,LAYER_3,Fraksi_2
42,ALMI,61219.0,-18442.0,-30,4942,13,13,CCI_20,LAYER_3,Fraksi_2
43,ALMI,61219.0,-12481.0,-20,2081,6,6,SO_14,LAYER_3,Fraksi_2
44,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14,LAYER_3,Fraksi_1
45,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20,LAYER_3,Fraksi_1
46,ADMG,34323.0,-15651.0,-45,2151,9,9,CCI_20,LAYER_3,Fraksi_1
47,ADMG,34523.0,-13829.0,-40,498,3,2,SO_14,LAYER_3,Fraksi_1
48,LTLS,65234.0,3449.0,5,790,2,1,MFII_14,LAYER_2,Fraksi_3
49,LTLS,57707.0,3031.0,5,12688,25,24,BB_MAVG_20,LAYER_2,Fraksi_3
50,LTLS,57707.0,-9356.0,-16,12575,25,24,CCI_20,LAYER_2,Fraksi_3
51,LTLS,57707.0,2942.0,5,2277,5,4,SO_14,LAYER_2,Fraksi_3
52,INOV,37735.0,3077.0,8,323,1,1,MFII_14,LAYER_3,Fraksi_1
53,INOV,37534.0,6554.0,17,1792,6,5,BB_MAVG_20,LAYER_3,Fraksi_1
54,INOV,37534.0,5308.0,14,1436,5,4,CCI_20,LAYER_3,Fraksi_1
55,INOV,37534.0,10807.0,28,1137,4,3,SO_14,LAYER_3,Fraksi_1
56,EXCL,327173.0,0.0,0,1173,1,0,MFII_14,LAYER_1,Fraksi_4
57,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20,LAYER_1,Fraksi_4
58,EXCL,213766.0,72935.0,34,41285,17,16,CCI_20,LAYER_1,Fraksi_4
59,EXCL,213766.0,148088.0,69,12100,6,5,SO_14,LAYER_1,Fraksi_4
60,ICBP,1043744.0,-75717.0,-7,8217,1,1,MFII_14,LAYER_1,Fraksi_5
61,ICBP,1056289.0,-214163.0,-20,153258,18,17,BB_MAVG_20,LAYER_1,Fraksi_5
62,ICBP,1048762.0,44160.0,4,119899,14,13,CCI_20,LAYER_1,Fraksi_5
63,ICBP,1048762.0,10551.0,1,48472,6,5,SO_14,LAYER_1,Fraksi_5
64,ISAT,267961.0,33733.0,12,3767,2,2,MFII_14,LAYER_1,Fraksi_5
65,ISAT,316134.0,-77462.0,-24,17542,8,7,BB_MAVG_20,LAYER_1,Fraksi_5
66,ISAT,316134.0,-75145.0,-23,17225,8,7,CCI_20,LAYER_1,Fraksi_5
67,ISAT,316134.0,-101615.0,-32,12162,6,5,SO_14,LAYER_1,Fraksi_5
68,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14,LAYER_1,Fraksi_2
69,SCMA,38237.0,-9318.0,-24,2518,10,10,BB_MAVG_20,LAYER_1,Fraksi_2
70,SCMA,38237.0,-5509.0,-14,2109,9,9,CCI_20,LAYER_1,Fraksi_2
71,SCMA,37635.0,-447.0,-1,1747,7,7,SO_14,LAYER_1,Fraksi_2
72,TOWR,78280.0,-13081.0,-16,581,1,1,MFII_14,LAYER_1,Fraksi_3
73,TOWR,80789.0,-6301.0,-7,8301,14,14,BB_MAVG_20,LAYER_1,Fraksi_3
